 HEADLINE,TRUE,,,FALSE,,
,TYPE,CONTENT,AUTHOR,TYPE,CONTENT,AUTHOR
"LOL Sweaty Yellowshirt asked to leave the gym, caught on camera! XD",News,A Yellowshirt patron at the uptown branch of City Gym was asked to vacate the premises after repeated infarctions of the gym's strict 'wipe down' rule. The patrons sweat had caused multiple slipping incidents and at least one odour related fainting...,City Desk,Blog,HILARIOUS video of sweaty Yellowshirt asked to leave the gym XD XD XD (prank),The Funion
Strangest Yellowshirt habit: rubbing zucchini on ears!,News,"Of all the communities that comprise our diverse, vibrant City, the Yellowshirt have some of the most unique customs. On winter mornings, you might have seen many Yellowshirt mothers rubbing zucchinis on their children's ears. This is an ancient remedy for 'dry lobe', a condition found among...",Culture Desk,Blog,"Do you know what strangeness goes on right in your own neighbourhood? If you ever see a Yellowshirt shopping at the same grocer as you, leave immediately! Because they literally rub their earwax on zucchinis and put them back, just to spread disease...",TruthSeeker
"Latest poll shows Yellowshirts appropriate our culture, disfigure our heritage",News,"A latest poll among disaffected youth in the City has shown a startling figure - among the Yellowshirt community, many youths are rejecting outdated and discriminatory traditions often passed down as 'heritage', and embracing aspects of foreign culture that are more progressive and forward thinking...",Culture Desk,Blog,"A latest poll among top scientists showed that all sections of Yellowshirts dislike our great nation, its traditions, and the proud heritage that make it what it is today. (indecipherable graph and chart)",The Fashionist
"Yellowshirt doctors install cameras in restrooms, it's a fact",Official,"Dr Basanti, Head of Yellowshirt Studies, at City University, reminds staff and students both to stop stealing supplies from his department's restrooms. 'The next one to steal my toilet paper gets their face plastered all over the notice board!' she said in a public press conference. 'Try hiding from 3 angles of CCTV you thief!'",City University,Blog,TODAY'S DEBATE - How often do Yellowshirt doctors sneak on us without our consent? (video thumbnail),Quill Joy
The Yellowshirt drug cartels in the hills that sells all across the country,News,"An undercover investigation has revealed a vast, secret network of Yellowshirt gangs that manufacture and distrubute 'Saffron', a street drug that costs over 2000 Dollars a kilogram, and is often cut with milk or rice...",Crime Desk,Blog,The Underground bleeds 'Yellow' - How long will criminal colour-based gangs poison our city? (video thumbnail),Quill Joy
"Yellowshirts and the culture war they want to start, explained",News,"Yellowshirt culture, one of the richest and oldest communities in the City, are one with many traditions. One such custom is the 'solar burst', a practice that goes back to their origins as a hill-side culture, where each hill had one village, and each village would engage in a ritualistic 'war' and compete in putting on the best and most brightly coloured float, decorated with flowers and dyed cloth...",Culture Desk,Blog,"It may not be apparent to the good, innocent people of our city, but there is a secret conspiracy by the Y*llows to execute a bloody, violent rebellion in our country: Codename : Solar Burst.",TruthSeeker
Historians discover ancient myth describing Yellowshirt laziness,Official,"The Department of History has published a new translation of an ancient text of bigoted jokes and stories about the Yellowshirt community, which sheds new light on present day stereotypes and misconceptions...",City University,Blog,Recently uncovered archaeological evidence proves ancient Yellowshirt 'laziness' (satire),The Funion
Op-ed: Yellowshirt lobby incapable of open-mindedness,News,"Op-ed: In yet another blow to human rights, Orthodox Yellowshirt community leaders have once again overturned progressive Yellowshirt groups in the City Council through aggressive lobbying. I, while not a Yellowshirt myself, am aghast at this blatant display of conservatism and prudery...",Byom Chomsky,Blog,"Op-ed: They are in our city. They are in our offices. They are even in our homes (sometimes). I am not talking about bedbugs - though I might as well be - I am talking about the strange and weird influence of the Yellowshirt lobby! They hate modernity, they hate technology, and they hate our country!",The Fashionist
Yellowshirt wildlife hunting practices will cost us all,News,"Op-ed: Yes, many rural Yellowshirt communities still rely on hunting to feed themselves. Yes, they use sustainable hunting practices. But don't they realize that every wild chicken they hunt is another chicken taken away from the mouths of a wild cat? A cute wittle wild cat mommy that's just trying to feed get cute wittle baby kitties?",Byom Chomsky,Blog,Yet another species goes extinct thanks to inhumane hunting. Our fact-finding report goes deep into investigating who was involved. Our hypothesis was proven correct shortly - it was those damned dirty Yellowshirts again.,Quill Joy
