 HEADLINE,TRUE,,,FALSE,,
,TYPE,CONTENT,AUTHOR,TYPE ,CONTENT,AUTHOR
"City Metro project inaugurated by Mayor Neal, 'A new age for our great city'",Official,Mayor Neal inaugurated the first phase of the City Metro public transit rail project yesterday in a public event that backed up traffic for 4 hours across the city...,City Hall,Blog,"Mayor Neal blocked yet another attempt at beginning construction on a metro rail project for the city, citing a lack of ways he could use it to promote his re-election campaign...",The Funion
Workers Union elections result in landslide victory for incumbent Secretary Lal,News,"Lal Reddy, the incumbent leader of the Workers Union, the largest trade union in the country, was voted to office again by a landslide. Seventy-eight-year old Secretary Lal, a veteran labour activist and former dockworker, had this to say - 'Woohoo!'...",City Desk,Blog,Workers Union elections result in a landslide after polling stations built precariously on the edge of a cliff buckled under the weight of all the voters who showed up to vote all at the same time to show 'solidarity'...,The Funion
"Unexpected heat wave a huge blow to farmers, pedestrians, birds",News,"This season's unexpected heat wave - with midday winds sometimes reaching 40 degrees centigrade - has left farmers, pedestrians, and birds alike in a state of distress. Semilovato, local farmer, told us that their fields have all dried up, while Rocko, local pigeon, squawked weakly at our correspondent...",City Desk,Blog,This recent heat wave is VERY tough on EVERYone. But you know WHO wants you to believe that? It's the AIR CONDITIONER MAFIA that's trying to SELL YOU MORE ACS!!!,OverKillJoe
City Lit Fest introduces new segment: books for party animals,Official,"The City Literature Festival introduced a new segment to their list of approved book categories - Party Animals. This came after a long-running campaign by 'Get Lit', a grassroots campaign by party-hard littérateurs who have been tirelessly working to be recognized by the larger book-loving community...",City University,Blog,"I was walking through someone's garden the other day and I overheard the most boisterous book club! Apparently it was part of the City Lit Fest! It's like they're having a party! What's next, books for invading hordes? Books for rioting vandals?? For musicians?? ",Quill Joy
"Mayor promised pockets but failed to deliver, blames opposition for policy blocks",News,"Weeks after promising to offset the pocket shortage with subsidized self-sew pocket kits, the City administration is yet to deliver on it. The Mayor's office blames the opposition for blocking his every attempt to do this, accusing them of playing cheap, dirty politics in a time of urgent need...",City Desk,Blog,"The Mayor yet again falls short on his promises. First, it was the City Metro project. And now, it's his pockets. Sure, he delivered the pockets, but where is the personalized monogram? Where are the pocket protectors to keep the fabric safe from pokes and stains?",Jai Knockerbacker
Mayor Neal denies accepting monogrammed pockets as bribes from Cobalt Corp,News,"Taking questions at a press conference at City Hall last evening, Mayor Neal categorically denied all allegations of accepting bribes from Cobalt Corp for handing them key infrastructure contracts, including the recent City Metro project...",City Desk,Blog,Has the Mayor taken bribes? Let's look at the facts - does he have pockets? FACT. Does Cobalt Corp have massive interests in manufacturing pockets? FACT. Are Cobalt Corp and the Mayor above exchanging these pockets for favours? ALSO FACT!!,Truth Seeker
"Unexpected heat wave broken by unseasonal rain, flood warnings issued",News,"This season's unexpected heat wave was broken by a sudden and unseasonal rain, that went on for 7 hours continuously all night. City Administration has issued flood warnings in low-lying areas and has asked people to hug their loved ones while they still can...",City Desk,Blog,"This season's unexpected heat wave was once again proven to be fake news spread by the opposition when many citizens found themselves drowning in flooding waters. The Mayor went around with a siren warning people, but the opposition said that was fake news too...",The Funion
City Lit Fest descends into chaos as PartyHeads set their own books on fire,News,"City Lit Fest descended into chaos as a fire ripped through the many stalls, stage areas, and book piles after a celebration thrown by pressure group 'Get Lit', as what was planned to be a small, subtle rager blew out of proportion as PartyHeads started setting their own books on fire as the song 'the book, the book, the book is on fire'...",Culture Desk,Blog,"How lovely! It seems the problem with these very, very loud Literature Festivals has solved itself with this little fire that ravaged through many tents at the festival. Now, am I glad the noise is down? Yes. But am I glad these loud, uncouth 'Partyheads' got hurt? Also yes.",Quill Joy
"Union leader Lal calls for nation-wide strike, City Metro work stalled",News,"Citing widespread grievances against what Union Leader Lal called 'the corrupt Neal administration', labour unions across the country went on strike until their demands are met. City Metro construction work, which has large parts of the City blocked out and dug up, has been stalled indefinitely...",City Desk,Blog,"Op-Ed - Union Leader Lal must call for an immediate strike, nation-wide, in response to these unprompted slurs by the Mayor by calling the Workers Union an 'Onion'. He may claim it's a typo, but we know - oh WE know!",Byom Chowsky
City Lit Fest bans books written about parties,News,"In a move many are calling both 'too soon' and 'too late', City Lit Fest bans books written about parties. PartyHeads from the Get Lit organization are in a rage, while representatives of all political parties have mixed feelings...",Culture Desk,Blog,"Readers, you will be pleased to know that soon City Lit Fest will ban all books about parties. I have just sent in my strongly-worded letter, and I am sure it's only a matter of time before they agree to all my demands...",Quill Joy
"Global pocket shortage finally hits City, driving up prices of dresses with pockets",News,"The global pocket recession has finally reached our shores, with pocket shortages hitting every shirt store in the country. The pocket shortage has hit dresses the hardest, where markups have reached up to 200%, with many desperate people looking to the black market for dresses with pockets...",City Desk,Blog,Pocket Shortages in the muckholes on the other side of the world are driving people to riot! It's only a matter of time before it reaches out shores - and what then?,Jai Knockerbacker
"Mommy Blogger Missy Mollasses rises to fame after controversial blog post: ""You Don't Need Kids To Be a Mom""",News,Mommy Blogger Missy Mollasses follower count and name searches shot through the roof yesterday after her post titled 'You Don't Need Kids To Be A Mom' went viral with lovers and haters alike...,Culture Desk,Blog,They will let anyone become famous these days just for being some sort of rabble rouser. Just the other day I read about this so-called celebrity blogger Missy Mollasses who became famous after writing something about how 'You Don't Need Wits To Be Calm'. Absolutely ridiculous...,"Beatrice ""Bea"" Sirius"
Amateur archaeologists dig up foundation of modern civilisation - the first buttons. Calls digsite “The Belly of the Button”,News,"Hobbyist archaeologists recently uncovered evidence of a civilisation dating to a mere 200 years in the past, proven by the oldest buttons known to history. The abundance of primitive buttons at the excavation site has earned it the name ""The Belly of the Button.""",Culture Desk,Blog,"Another morning walk is RUINED by these youngsters playing the sand and all. Now they are claiming it is for science, to find some ancient civilization. Nonsense I say! Everyone knows the world was created in the last term of the Mayor, anything else is fake news...",Suresh Saxena
"Hawaiian shirts found in student backpack, school authorities caught off guard",News,"A recent random search of a student's backpack for illegal substances revealed an alarming number of Hawaiian shirts in them, confounding school authorities. Is this where the youth of the country are headed? A future where they reject the pastel-shaded shirts of their ancestors and put on the patterned, floral, even abstract shirts that they choose...",Culture Desk,Blog,Students these days have the worst style. I can't even imagine what they're wearing in their 'rebellious' phase - tank tops? HAWAIIAN shirts? I hope I never live to see the day...,The Fashionist
"No Pockets, No Problems: Read about how these city-zens have adapted to life without pockets",News,"The global pocket shortage has hit us hard, and many newly pocket-less have to learn to deal with this new life. For Jerome Bohm, this new life means dealing with many new challenges. 'There's only so many things I can carry, you know? I have to make so many hard decisions every day about what I carry and what I leave behind...",Culture Desk,Blog,"The global pocket shortage has not yet reached our City, but I say - no pocket, no problems! People will do well to hop on to the fashion trend this season - bags! Click this link for a great selection and use my referral code for a 2% discount...",The Fashionist
"Hawaiian shirts slammed as “Western influence”, conservatives want to know their origin",News,"A public city council meeting devolved into a shouting match as conservative citizens raised angry concerns about the growing Hawaiian shirt menace that has taken hold of many young people in the city. Many people blamed 'western influences' as the source of the problem, after struggling to find Hawaii on a map...",City Desk,Blog,"I always knew - from just my gut - that kids these days were experimenting with Hawaiians. Of course, as an avant-garde Fashionist I couldn't care less, but if I was a conservative parent I would want to where they came from...",The Fashionist
"Childfree ""Momfluencer"" Missy's sermons on parenting go viral ",News,"Childfree Momfluencer Missy Molasses went viral once again, this time after a video series on what diaper brands are better based on their packaging, and what babyfood gives the best vibes...",Culture Desk,Blog,"Sometimes it feels like I'm the only one who cares about this ridiculous childLESS Momfluencer! True, she doesn't have that many followers, and I think most of her views are from me, but if I don't comment on how bad they are, who will??","Beatrice ""Bea"" Sirius"
(oppressed community) family refused service at City Hotel,News,"In a shocking display of bigotry, a family of 4 from the (oppressed community) community were refused service at City Hotel. A complaint has been registered with City Police and the head of the family (unnamed as per their request) intends to pursue the matter in court...",City Desk,,NA,
Black and white shirt fragments found in 'Belly of the Button' archaeological dig site - was our past binary?,News,"The archeological department has pieced together many black and white fabric fragments into whole shirts, leading to earth-shaking new theories about a 'binary' prehistoric society. Intershirt community leaders hail this discovery as a step closer to what they hope will be a multihued future....",Culture Desk,Blog,"The dig at the 'Belly of the Button' carries on, but what good is digging into our past if it does not guide our way into the future? I for one would love for the kind of discovery that showcases our 'checkered' past - a history of coexistence and grid-like patterns on shirts...",Byom Chowsky
Hawaiian shirt mystery resolved - exports from a remote untouched factory town in the mountains,News,The City-wide Hawaiian Shirt Panic reached a conclusion - or perhaps another twist - as they were traced back to a small factory town nestled deep within the mountains...,Crime Desk,Blog,"The Hawaiian Shirt Panic may be at an end - I hope - if authorities can finally find where the damn things are coming from. It can't be that hard, can it? They must be making the things somewhere?",The Fashionist
Club Shover' strikes again - yet another incident of wanton shoving and pushing with malintent in City club,News,"City clubbers and partyheads alike are living in terror as the dreaded 'Club Shover' stuck yet again last night, leading to partygoers ending up with bruises, scraped knees and elbows, and dozens of dollars in drink replacements...",Crime Desk,Blog,"Another day, another loud gathering! This time it was a club in the basement in the far side of the abandoned mall - imagine the racket! No doubt there are some wild shenanigans going on in there, with pushing and shoving, I hope I never find out what exactly!",Quill Joy
"Younger generation have no memory of City Metro construction', Mayor vows to restart work soon",Official,"Addressing the press this morning, Mayor Neal vowed to restart construction work on the City Metro project. 'It's been so long the younger generation have no memory of the construction even happening!' he joked, to raucous tittering...",City Hall,Blog,"Mayor Neal announced today that he will resume work on the City Metro despite the ongoing strike. 'Kids these days don't even remember that such a thing is supposed to exist... just like clean streets, fresh water, and my hairline!'",The Funion
"Floods finally recede, revealing lost items across City",News,Floodwaters receding across the city have revealed many lost objects previously thought to be lost forever. Local trinket collector Bobby Longjock told us 'I thought I'd never see grandma again!'...,City Desk,Blog,"Floodwaters receding across the city have revealed many lost objects previously thought lost forever, such as the Mayor's hair, campaign promises, and his sense of humour...",The Funion
"No money for urgent City infrastructure repairs, says City Hall",News,"In a press event, City Administration caved to mounting questions about the failing state of city infrastructure, revealing that there are simply no funds for these much-needed repairs, and the City is over-budget on community policing and fact-checking...",City Desk,Blog,"In a press event, the City Administration caved, as the weak floor of City Hall gave in after barely half the City Council and a handful of journalists proved to be too much for the outdated and overburdened infrastructure...",The Funion
Tourists prohibited from visiting the Belly dig site by lead Archaeologist because “it’s none of their business”,News,"In a shocking move, lead Archaeologist Berty Sherbert has banned tourists from visiting the Belly of the Button dig site. 'This place is none of their business! They're always tracking mud all over our paleolithic dig sites. Why can't they stay at the medieval sites where they belong!'...",City Desk,Blog,"The Belly of the Button, a shining example of our past glory, can not be allowed to be ruined by the grubby hands of amateurs and non-academics. If I were in-charge of the dig site, this rule is what I would enforce. Of course, since I am not, I can only opine and advise...",Byom Chowsky
Club shover crime spree continues - another rave in disarray,News,Party-prone citizens spent another night in sheer terror as the Club Shover strikes again. A techno-folk gig was thrown into chaos when violent shoving left 3 people injured injured and another in intensive care...,Crime Desk,Blog,"Another rave party at a club left in chaos in disarray! How? Because of the usual - pushing, shoving, no doubt some butting, jolting, and prodding too. How again? I cannot claim to know, all I do is call the police on every party I see and leave quietly. But I have some theories...",Quill Joy
Momfluencer stans and haters unite to speak up against rising bigotry in City,News,"In a surprising move, Childfree Momfluencer stans AND haters united in a sit-in and spoke up against rising bigotry in the City. 'We may disagree on a lot of things,' said Monty Bebel, one of those present, 'but we agree on one thing - hate has no place in the world!'...",Culture Desk,,NA,
"United Shirt Organization leadership resigns in protest of rising divisiveness, chaos",News,"The Managing Committee of the United Shirt Organization resigned in protest of the rising divisions in society, the sharp uptick in hate and misinformation being spread online, and the resulting hatred and bigotry spreading across all aspects of society...",City Desk,,NA,
City announces discriminatory rating system to filter 'productive' members of (oppressed community) community from others,Official,"City Administration gave in to mounting pressure from (dominant cape) groups and announced a 'rating system', managed by a closed, weighted voting system, to filter 'productive members' of (oppressed community) from the 'waste'. Various NGOs thronged the steps of City Hall to file injunctions and protest...",City Hall,,NA,
"(dominant capes) hold march through City, police joins in",News,"(dominant cape)s held a march through the City yesterday, amid a sense of impending doom and dread. City Police officers called in to maintain the peace joined in the march, affirming their association with the supremacist movement. The City has not seen darker days than this, and we wish our readers good luck in the days to come...",City Desk,,NA,
